Processing file: input_sample_2.txt

Solution A_star: 38.11622002524409
Player 1: Share = 0.48481778763523775, Effort = 4.5509361049623624
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.5161210279405148, Effort = 4.633613069256621
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 38.147412520588745
Player 1: Share = 0.48437296249027006, Effort = 4.550686558752994
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.5157449120299781, Effort = 4.633835383264187
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 38.178630542382905
Player 1: Share = 0.48392701909360153, Effort = 4.550429148994785
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.5153680704884807, Effort = 4.634052862980974
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 38.178630542382905
Player 1: Share = 0.48392701909360153, Effort = 4.550429148994785
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0.5166328326712044, Effort = 3.986715213373582
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 38.2098741115162
Player 1: Share = 0.4834799495257735, Effort = 4.550163816276723
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0.5162517443023114, Effort = 3.9869152634849927
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 39.38403843073793
Player 1: Share = 0.4660639210283736, Effort = 4.534158582950368
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0.5347036313267044, Effort = 4.79613900133276
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 39.4162684481581
Player 1: Share = 0.4655670196795228, Effort = 4.533539697719008
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0.5343636426870716, Effort = 4.796591756902291
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 39.448524841086325
Player 1: Share = 0.46506858441954896, Effort = 4.532909857648136
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0.5340230687790359, Effort = 4.797040820649273
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 39.448524841086325
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.49965260172465475, Effort = 4.638431836743983
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0.5008837838985373, Effort = 3.9911187063397304
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 39.48080763110706
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.49924236978882297, Effort = 4.638423451887996
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0.5004759888569256, Effort = 3.9911275437902503
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 40.82739870604051
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.48156117955519767, Effort = 4.632128538837206
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0.519151184215846, Effort = 4.812276302328304
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 40.86080990062458
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.4811067709103075, Effort = 4.631813869461889
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0.5187874659034397, Effort = 4.812568806235185
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 40.894248437335726
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0.482201400879802, Effort = 3.9860732664335274
Player 8: Share = 0.5184167883700879, Effort = 4.812826586361599
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 40.894248437335726
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.4806511428892479, Effort = 4.63149066175526
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0.5184167883700879, Effort = 4.812826586361599
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 40.927714338549436
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0, Effort = 0.0
Player 5: Share = 0, Effort = 0.0
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0.48175786796950887, Effort = 3.9858180633524047
Player 8: Share = 0.5180484222517768, Effort = 4.813094243782758
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 42.11643573440236
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.4633491608776488, Effort = 4.613522111382566
Player 5: Share = 0.5373591581156001, Effort = 4.289406705884431
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 42.15090181537022
Player 1: Share = 0, Effort = 0.0
Player 2: Share = 0, Effort = 0.0
Player 3: Share = 0, Effort = 0.0
Player 4: Share = 0.46283998336847987, Effort = 4.612822211312482
Player 5: Share = 0.5370151211506755, Effort = 4.289848190240142
Player 6: Share = 0, Effort = 0.0
Player 7: Share = 0, Effort = 0.0
Player 8: Share = 0, Effort = 0.0
Player 9: Share = 0, Effort = 0.0
Player 10: Share = 0, Effort = 0.0
Solution A_star: 43.874748181927735
